137,002	82,67823007	-275,044013	0,141	NAN	
138	82,57995099	-275,749835	0,141	NAN	
139	82,57995099	-276,0725979	0,141	NAN	
140	82,67823007	-275,7193762	0,1395	NAN	
141	82,77650994	-273,9565614	0,1395	NAN	
142	82,67823007	-273,4591213	0,1395	NAN	
143	82,67823007	-271,703326	0,1395	NAN	
144	82,67823007	-272,3747097	0,1395	NAN	
145,023	82,57995099	-270,6524662	0,1395	NAN	
146	82,67823007	-270,7972787	0,141	NAN	
147	82,57995099	-271,5280465	0,138	NAN	
148	82,48167267	-271,5280465	0,1395	NAN	
149,018	82,67823007	-271,703326	0,1395	NAN	
150	82,67823007	-272,0540484	0,138	NAN	
151	82,57995099	-271,8786599	0,1395	NAN	
152	82,67823007	-273,4287854	0,1395	NAN	
153	82,67823007	-273,7805813	0,1395	NAN	
154	82,67823007	-270,8274734	0,1395	NAN	
155	82,48167267	-271,5280465	0,1395	NAN	
156,007	82,48167267	-272,7561479	0,1395	NAN	
157	82,48167267	-271,5280465	0,141	NAN	
158	82,48167267	-271,5280465	0,1395	NAN	
159,009	82,48167267	-271,002535	0,1395	NAN	
160	82,57995099	-272,0540484	0,138	NAN	
161	82,48167267	-270,9723309	0,1365	NAN	
162	82,48167267	-270,6524662	0,138	NAN	
163,008	82,57995099	-269,0798462	0,1365	NAN	
164	82,48167267	-269,2242543	0,1365	NAN	
165	82,28511822	-270,3026149	0,138	NAN	
166	82,28511822	-270,4775133	0,1365	NAN	
167	82,28511822	-269,0798462	0,1395	NAN	
168,018	82,38339508	-269,7782455	0,1395	NAN	
169,011	82,48167267	-271,5280465	0,138	NAN	
170	82,48167267	-270,7972787	0,1365	NAN	
171	82,38339508	-272,5502524	0,138	NAN	
172	82,43799875	-271,1474376	0,1365	NAN	
173	82,48167267	-270,3026149	0,1395	NAN	
174,021	82,48167267	-270,6524662	0,138	NAN	
175	82,38339508	-271,8484089	0,138	NAN	
176	82,38339508	-271,5280465	0,1395	NAN	
177	82,48167267	-270,2724483	0,138	NAN	
178,005	82,38339508	-269,9529809	0,141	NAN	
179	82,28511822	-270,4775133	0,147	NAN	
180	82,24144495	-269,6035643	0,147	NAN	
181,018	82,28511822	-269,6035643	0,144	NAN	
182,006	82,33972149	-269,0798462	0,1425	NAN	
183	82,28511822	-270,4775133	0,1395	NAN	
184	82,08856659	-270,1277707	0,1395	NAN	
185	82,18684207	-272,1992215	0,138	NAN	
186,019	82,18684207	-273,2832959	0,138	NAN	
187	82,18684207	-272,2294914	0,1365	NAN	
188	82,43799875	-274,6610292	0,1365	NAN	
189	82,18684207	-274,6610292	0,138	NAN	
190	82,24144495	-274,6610292	0,138	NAN	
191,022	82,33972149	-275,7193762	0,138	NAN	
192,006	82,28511822	-274,6914312	0,138	NAN	
193	82,28511822	-273,9565614	0,1395	NAN	
194	82,33972149	-274,3390688	0,1395	NAN	
195	82,28511822	-274,6914312	0,1395	NAN	
196	82,14316909	-275,1899557	0,1395	NAN	
197,017	82,18684207	-274,3390688	0,138	NAN	
198	82,14316909	-274,6914312	0,138	NAN	
199	82,08856659	-274,1629698	0,138	NAN	
200	82,14316909	-274,5152226	0,138	NAN	
201,018	82,24144495	-274,6914312	0,138	NAN	
202	82,14316909	-274,4848301	0,138	NAN	
203	82,04489392	-273,9869256	0,138	NAN	
204	82,04489392	-275,013592	0,138	NAN	
205,006	82,04489392	-274,3390688	0,138	NAN	
206	82,04489392	-275,1899557	0,138	NAN	
207	82,04489392	-275,044013	0,1365	NAN	
208	82,04489392	-275,013592	0,1365	NAN	
209,016	82,04489392	-273,1075253	0,1365	NAN	
210	81,94661939	-272,404989	0,135	NAN	
211	81,94661939	-271,703326	0,1365	NAN	
212	81,94661939	-270,8274734	0,135	NAN	
213	81,94661939	-269,9529809	0,135	NAN	
214	82,04489392	-270,6524662	0,1365	NAN	
215	82,04489392	-270,4775133	0,135	NAN	
216	82,08856659	-270,4775133	0,1365	NAN	
217,017	82,14316909	-268,730972	0,135	NAN	
218	82,04489392	-269,3988176	0,1365	NAN	
219	82,04489392	-268,730972	0,1365	NAN	
220	81,94661939	-269,748107	0,135	NAN	
221,021	81,84834551	-269,748107	0,135	NAN	
222	81,94661939	-269,6035643	0,1365	NAN	
223	81,84834551	-270,1277707	0,135	NAN	
224	81,75007224	-269,0798462	0,135	NAN	
225,008	81,75007224	-269,0798462	0,138	NAN	
226	81,65179956	-268,1780126	0,135	NAN	
227	81,65179956	-266,816033	0,135	NAN	
228,013	81,75007224	-267,3376404	0,135	NAN	
229	81,55352747	-270,1277707	0,135	NAN	
230	81,55352747	-270,8274734	0,1365	NAN	
231	81,55352747	-270,8274734	0,135	NAN	
232	81,55352747	-272,2294914	0,135	NAN	
233	81,65179956	-272,2294914	0,135	NAN	
234	81,55352747	-271,002535	0,135	NAN	
235	81,45525593	-271,8484089	0,135	NAN	
236,017	81,35698494	-270,4473374	0,135	NAN	
237,011	81,55352747	-269,6035643	0,135	NAN	
238	81,45525593	-270,3026149	0,135	NAN	
239	81,45525593	-270,1277707	0,135	NAN	
240	81,55352747	-270,1277707	0,1365	NAN	
241	81,55352747	-269,748107	0,135	NAN	
242	81,55352747	-270,1277707	0,135	NAN	
243	81,55352747	-269,2543647	0,1365	NAN	
244	81,65179956	-269,0798462	0,1395	NAN	
245	81,65179956	-269,6035643	0,138	NAN	
246,023	81,35698494	-269,9228331	0,138	NAN	
247	81,45525593	-270,7972787	0,1365	NAN	
248	81,55352747	-270,4775133	0,1365	NAN	
249	81,50980834	-269,0497452	0,138	NAN	
250	81,45525593	-267,5116176	0,1365	NAN	
251	81,35698494	-267,1637173	0,1365	NAN	
252	81,35698494	-268,2080669	0,1365	NAN	
253	81,25871446	-267,5116176	0,135	NAN	
254	81,25871446	-268,0338734	0,135	NAN	
255	81,25871446	-269,2543647	0,1365	NAN	
256,022	81,25871446	-269,9529809	0,1365	NAN	
257	81,16044449	-270,4775133	0,135	NAN	
258	81,16044449	-268,8752904	0,135	NAN	
259	81,31326628	-268,5566161	0,1335	NAN	
260	81,35698494	-269,6035643	0,135	NAN	
261	81,35698494	-268,730972	0,1335	NAN	
262	81,35698494	-268,0038285	0,135	NAN	
263	81,41153705	-267,6856488	0,135	NAN	
264,022	81,25871446	-267,8597341	0,135	NAN	
265,006	81,16044449	-268,2080669	0,135	NAN	
