t;T;T
[s];[°C];[°C]

265,0;239,0;239,0
266,0;238,6;238,6
267,0;238,6;238,6
268,0;237,9;237,9
269,0;237,9;237,9
270,0;237,9;237,9
271,0;237,9;237,9
272,0;237,2;237,2
273,0;237,2;237,2
274,0;237,2;237,2
275,0;237,2;237,2
276,0;236,8;236,8
277,0;236,8;236,8
278,0;236,8;236,8
279,0;236,8;236,8
280,0;236,1;236,1
281,0;236,1;236,1
282,0;235,8;235,8
283,0;235,8;235,8
284,0;235,4;235,4
285,0;235,4;235,4
286,0;235,1;235,1
287,0;235,1;235,1
288,0;234,7;234,7
289,0;234,7;234,7
290,0;234,3;234,3
291,0;234,3;234,3
292,0;234,0;234,0
293,0;234,0;234,0
294,0;233,6;233,6
295,0;233,6;233,6
296,0;233,6;233,6
297,0;233,6;233,6
298,0;233,6;233,6
299,0;233,6;233,6
300,0;233,3;233,3
301,0;233,3;233,3
302,0;232,6;232,6
303,0;232,6;232,6
304,0;232,6;232,6
305,0;232,6;232,6
306,0;232,2;232,2
307,0;232,2;232,2
308,0;231,8;231,8
309,0;231,8;231,8
310,0;231,5;231,5
311,0;231,5;231,5
312,0;231,1;231,1
313,0;231,1;231,1
314,0;230,8;230,8
315,0;230,8;230,8
316,0;230,4;230,4
317,0;230,4;230,4
318,0;230,1;230,1
319,0;230,1;230,1
320,0;230,1;230,1
321,0;230,1;230,1
322,0;229,7;229,7
323,0;229,7;229,7
324,0;229,3;229,3
325,0;229,3;229,3
326,0;229,0;229,0
327,0;229,0;229,0
328,0;228,6;228,6
329,0;228,6;228,6
330,0;228,3;228,3
331,0;228,3;228,3
332,0;228,3;228,3
333,0;228,3;228,3
334,0;227,9;227,9
335,0;227,9;227,9
336,0;227,2;227,2
337,0;227,2;227,2
338,0;226,8;226,8
339,0;226,8;226,8
340,0;226,5;226,5
341,0;226,5;226,5
342,0;226,5;226,5
343,0;226,5;226,5
344,0;226,1;226,1
345,0;226,1;226,1
346,0;225,4;225,4
347,0;225,4;225,4
348,0;225,4;225,4
349,0;225,4;225,4
350,0;225,1;225,1
351,0;225,1;225,1
352,0;224,7;224,7
353,0;224,7;224,7
354,0;224,7;224,7
355,0;224,7;224,7
356,0;224,3;224,3
357,0;224,3;224,3
358,0;223,6;223,6
359,0;223,6;223,6
360,0;223,3;223,3
361,0;223,3;223,3
362,0;223,3;223,3
363,0;223,3;223,3
364,0;222,9;222,9
365,0;222,9;222,9
366,0;222,5;222,5
367,0;222,5;222,5
368,0;222,2;222,2
369,0;222,2;222,2
370,0;221,8;221,8
371,0;221,8;221,8
372,0;221,5;221,5
373,0;221,5;221,5
374,0;221,5;221,5
375,0;221,5;221,5
376,0;221,1;221,1
377,0;221,1;221,1
378,0;220,8;220,8
379,0;220,8;220,8
380,0;220,4;220,4
381,0;220,4;220,4
