t;T;T
[s];[°C];[°C]
;;
332;225,7;225,7
333;225,7;225,7
334;225,4;225,4
335;225,4;225,4
336;225,4;225,4
337;225,4;225,4
338;225,4;225,4
339;225,4;225,4
340;225;225
341;225;225
342;224,7;224,7
343;224,7;224,7
344;224,3;224,3
345;224,3;224,3
346;224;224
347;224;224
348;223,2;223,2
349;223,2;223,2
350;223,2;223,2
351;223,2;223,2
352;222,9;222,9
353;222,9;222,9
354;222,2;222,2
355;222,2;222,2
356;222,2;222,2
357;222,2;222,2
358;222,2;222,2
359;222,2;222,2
360;221,5;221,5
361;221,5;221,5
362;221,5;221,5
363;221,5;221,5
364;221,1;221,1
365;221,1;221,1
366;220,7;220,7
367;220,7;220,7
368;220,4;220,4
369;220,4;220,4
370;220,4;220,4
371;220,4;220,4
372;219,7;219,7
373;219,7;219,7
374;219,7;219,7
375;219,7;219,7
376;219,7;219,7
377;219,7;219,7
378;219,3;219,3
379;219,3;219,3
380;219,3;219,3
381;219,3;219,3
382;218,2;218,2
383;218,2;218,2
384;218,2;218,2
385;218,2;218,2
386;217,9;217,9
387;217,9;217,9
388;217,5;217,5
389;217,5;217,5
390;217,5;217,5
391;217,5;217,5
392;216,8;216,8
393;216,8;216,8
394;216,8;216,8
395;216,8;216,8
396;216,4;216,4
397;216,4;216,4
398;216,1;216,1
399;216,1;216,1
400;215,7;215,7
401;215,7;215,7
402;215,4;215,4
403;215,4;215,4
404;215;215
405;215;215
406;214,6;214,6
407;214,6;214,6
408;215;215
409;215;215
410;214,3;214,3
411;214,3;214,3
412;214,3;214,3
413;214,3;214,3
414;213,6;213,6
415;213,6;213,6
416;213,9;213,9
417;213,9;213,9
418;212,8;212,8
419;212,8;212,8
420;213,2;213,2
421;213,2;213,2
422;212,9;212,9
423;212,9;212,9
424;212,5;212,5
425;212,5;212,5
426;212,1;212,1
427;212,1;212,1
428;211;211
429;211;211
430;211,1;211,1
431;211,1;211,1
432;210,7;210,7
433;210,7;210,7
434;210,3;210,3
435;210,3;210,3
436;210,3;210,3
437;210,3;210,3
438;209,6;209,6
439;209,6;209,6
440;209,6;209,6
441;209,6;209,6
442;208,9;208,9
443;208,9;208,9
444;208,9;208,9
445;208,9;208,9
446;208,9;208,9
447;208,9;208,9
448;208,5;208,5
449;208,5;208,5
450;207,8;207,8
451;207,8;207,8
452;207,8;207,8
453;207,8;207,8
454;207,1;207,1
455;207,1;207,1
456;207,5;207,5
457;207,5;207,5
458;207,1;207,1
459;207,1;207,1
460;206,7;206,7
461;206,7;206,7
462;206,4;206,4
463;206,4;206,4
464;206;206
465;206;206
466;205,3;205,3
467;205,3;205,3
468;205,3;205,3
469;205,3;205,3
470;205,3;205,3
471;205,3;205,3
472;205,3;205,3
473;205,3;205,3
474;205;205
475;205;205
476;204,6;204,6
477;204,6;204,6
478;204,2;204,2
479;204,2;204,2
480;204,2;204,2
481;204,2;204,2
482;203,9;203,9
