t;T
[s];[°C]

398,0;166,4
399,0;166,0
400,0;165,7
401,0;165,7
402,0;165,3
403,0;165,3
404,0;165,3
405,0;164,9
406,0;164,9
407,0;164,2
408,0;164,2
409,0;163,9
410,0;163,9
411,0;163,5
412,0;163,5
413,0;163,5
414,0;163,1
415,0;162,8
416,0;162,4
417,0;162,4
418,0;162,1
419,0;162,1
420,0;162,1
421,0;161,7
422,0;161,7
423,0;161,7
424,0;161,7
425,0;161,3
426,0;161,3
427,0;161,0
428,0;160,6
429,0;160,6
430,0;160,3
431,0;160,3
432,0;159,9
433,0;159,9
434,0;159,5
435,0;159,5
436,0;158,8
437,0;158,8
438,0;158,8
439,0;158,5
440,0;158,5
441,0;158,5
442,0;158,1
443,0;157,7
444,0;157,4
445,0;157,4
446,0;157,7
447,0;157,0
448,0;157,0
449,0;156,3
450,0;156,3
451,0;156,3
452,0;156,3
453,0;156,3
454,0;155,9
455,0;155,2
456,0;155,2
457,0;155,2
458,0;155,2
459,0;154,9
460,0;154,9
461,0;154,5
462,0;154,5
463,0;154,5
464,0;154,5
465,0;154,1
466,0;153,8
467,0;153,8
468,0;153,4
469,0;153,1
470,0;153,1
471,0;153,1
472,0;152,7
473,0;152,7
474,0;152,3
475,0;152,3
476,0;152,0
477,0;151,6
478,0;151,6
479,0;150,9
480,0;150,9
481,0;150,9
482,0;150,9
483,0;150,9
484,0;150,5
485,0;150,5
486,0;150,2
487,0;149,8
488,0;149,8
489,0;149,8
490,0;149,5
491,0;149,1
492,0;149,1
493,0;149,1
494,0;149,1
495,0;148,4
496,0;148,4
497,0;148,0
498,0;148,0
499,0;147,3
500,0;147,3
501,0;147,3
502,0;147,3
503,0;147,3
504,0;147,3
505,0;147,0
506,0;147,3
507,0;147,0
508,0;147,0
509,0;146,3
510,0;146,3
511,0;145,9
512,0;145,9
513,0;145,9
514,0;145,5
515,0;145,5
516,0;145,2
517,0;145,2
518,0;145,2
519,0;144,8
520,0;144,5
521,0;144,5
522,0;144,1
523,0;144,1
524,0;143,8
525,0;143,8
526,0;143,8
527,0;143,4
528,0;143,4
529,0;142,7
530,0;142,7
531,0;142,7
532,0;142,3
533,0;142,3
534,0;142,3
535,0;142,0
536,0;142,0
537,0;142,0
538,0;141,6
539,0;141,6
540,0;141,6
541,0;141,3
542,0;140,9
543,0;140,9
544,0;140,5
545,0;140,2
546,0;140,2
547,0;140,2
548,0;140,2
549,0;139,8
550,0;139,8
551,0;139,5
552,0;139,5
553,0;139,1
554,0;138,8
555,0;138,7
556,0;138,7
557,0;138,8
558,0;138,4
559,0;138,4
560,0;138,4
561,0;138,0
562,0;137,7
563,0;137,3
564,0;137,3
565,0;137,3
566,0;137,0
567,0;136,6
568,0;136,6
569,0;136,6
570,0;136,6
571,0;136,3
572,0;136,3
573,0;135,9
574,0;135,5
575,0;135,5
576,0;135,5
577,0;135,2
578,0;135,2
579,0;135,2
580,0;135,2
581,0;134,8
582,0;134,8
583,0;134,8
584,0;134,5
585,0;134,5
586,0;134,1
587,0;134,1
588,0;133,8
589,0;133,8
590,0;133,4
591,0;133,4
592,0;133,1
593,0;133,1
594,0;133,1
595,0;133,1
596,0;133,1
597,0;133,1
598,0;132,7
599,0;132,7
600,0;132,7
601,0;132,0
602,0;132,0
603,0;132,0
604,0;131,6
605,0;131,6
606,0;131,6
607,0;131,3
608,0;131,3
609,0;130,9
610,0;130,9
611,0;130,6
612,0;130,2
613,0;130,2
614,0;130,2
615,0;130,2
616,0;129,9
617,0;129,8
618,0;129,9
619,0;129,5
620,0;129,5
621,0;129,2
622,0;129,2
623,0;129,2
624,0;128,8
625,0;128,4
626,0;128,4
627,0;128,1
628,0;128,1
629,0;128,1
630,0;127,7
631,0;127,7
632,0;127,7
633,0;127,7
634,0;127,4
635,0;127,4
636,0;127,0
637,0;126,7
638,0;126,7
639,0;126,7
640,0;126,3
641,0;126,3
642,0;126,3
643,0;125,9
644,0;126,0
645,0;125,6
646,0;125,6
647,0;125,6
648,0;125,6
649,0;125,3
650,0;125,3
651,0;124,9
652,0;124,9
653,0;124,9
654,0;124,6
655,0;124,5
656,0;124,2
657,0;124,2
658,0;124,2
659,0;123,8
660,0;124,2
661,0;123,8
662,0;123,8
663,0;123,1
664,0;123,1
665,0;123,1
666,0;123,1
667,0;122,4
668,0;122,4
669,0;122,4
670,0;122,4
671,0;122,4
672,0;122,1
673,0;122,1
674,0;122,1
675,0;122,1
676,0;121,4
677,0;121,4
678,0;121,4
679,0;121,3
680,0;121,0
681,0;120,6
682,0;120,7
683,0;120,6
684,0;120,6
685,0;120,6
686,0;120,6
687,0;120,3
688,0;119,6
689,0;119,9
690,0;119,6
691,0;119,6
692,0;118,9
693,0;118,9
694,0;118,9
695,0;118,9
696,0;118,9
697,0;118,9
698,0;118,9
699,0;118,5
700,0;118,5
701,0;118,5
702,0;118,5
703,0;118,2
704,0;118,2
705,0;117,8
706,0;117,8
707,0;117,5
708,0;117,5
709,0;117,1
710,0;117,5
711,0;117,1
712,0;117,1
713,0;117,1
714,0;117,1
715,0;116,8
716,0;116,4
717,0;116,4
718,0;116,0
719,0;116,0
720,0;115,7
721,0;115,7
722,0;115,3
723,0;115,3
724,0;115,3
725,0;115,0
726,0;115,3
727,0;115,0
728,0;115,0
729,0;114,6
730,0;115,0
731,0;114,3
732,0;114,3
733,0;114,3
734,0;113,9
735,0;113,9
736,0;113,6
737,0;113,6
738,0;113,6
739,0;113,6
740,0;113,6
741,0;113,2
742,0;113,2
743,0;112,9
744,0;113,2
745,0;113,2
746,0;112,5
747,0;112,5
748,0;112,5
749,0;111,8
750,0;111,8
751,0;111,8
752,0;111,8
753,0;110,1
754,0;111,8
755,0;111,8
756,0;111,8
757,0;111,8
758,0;111,5
759,0;111,5
760,0;111,1
761,0;110,8
762,0;110,8
763,0;110,8
764,0;110,4
765,0;110,4
766,0;110,4
767,0;110,1
768,0;110,1
769,0;110,1
770,0;109,7
771,0;109,7
772,0;109,7
773,0;109,0
774,0;109,0
775,0;109,0
776,0;109,0
777,0;109,0
778,0;109,0
779,0;109,0
780,0;108,7
781,0;108,3
782,0;108,3
783,0;108,3
784,0;108,3
785,0;108,0
786,0;108,0
787,0;107,6
788,0;107,3
789,0;107,3
790,0;107,3
791,0;107,3
792,0;106,9
793,0;106,9
794,0;106,9
795,0;106,9
796,0;106,6
797,0;106,6
798,0;106,6
799,0;106,6
800,0;106,6
801,0;106,2
802,0;106,2
803,0;105,9
804,0;105,9
805,0;105,5
806,0;105,5
807,0;105,5
808,0;105,2
809,0;105,2
810,0;105,2
811,0;105,2
812,0;105,2
813,0;104,8
814,0;104,8
815,0;104,8
816,0;104,8
817,0;104,8
818,0;104,8
819,0;104,5
820,0;104,1
821,0;104,1
822,0;104,5
823,0;103,8
824,0;103,8
825,0;104,1
826,0;103,8
827,0;103,4
828,0;103,4
829,0;103,4
830,0;103,4
831,0;103,4
832,0;103,0
833,0;103,0
834,0;103,1
