t;T
[s];[°C]

398,0;161,3
399,0;160,9
400,0;160,9
401,0;160,9
402,0;160,5
403,0;160,5
404,0;160,2
405,0;159,8
406,0;159,8
407,0;159,5
408,0;159,5
409,0;159,1
410,0;159,1
411,0;159,1
412,0;158,7
413,0;158,7
414,0;158,4
415,0;158,4
416,0;157,7
417,0;157,7
418,0;157,3
419,0;157,3
420,0;156,9
421,0;156,9
422,0;156,9
423,0;156,6
424,0;156,2
425,0;155,9
426,0;155,9
427,0;155,9
428,0;155,9
429,0;155,1
430,0;155,1
431,0;155,1
432,0;154,8
433,0;154,8
434,0;154,4
435,0;154,1
436,0;154,1
437,0;153,7
438,0;153,7
439,0;153,7
440,0;153,4
441,0;153,4
442,0;153,0
443,0;152,6
444,0;152,3
445,0;152,3
446,0;152,3
447,0;151,9
448,0;151,6
449,0;151,6
450,0;151,6
451,0;151,6
452,0;151,2
453,0;150,8
454,0;150,8
455,0;150,5
456,0;150,5
457,0;150,5
458,0;150,1
459,0;149,8
460,0;149,8
461,0;149,8
462,0;149,8
463,0;149,4
464,0;149,4
465,0;148,7
466,0;148,7
467,0;148,0
468,0;148,0
469,0;148,0
470,0;148,0
471,0;148,0
472,0;147,6
473,0;147,6
474,0;147,6
475,0;147,3
476,0;146,9
477,0;146,9
478,0;146,6
479,0;146,6
480,0;146,2
481,0;146,6
482,0;146,2
483,0;145,8
484,0;145,8
485,0;145,1
486,0;145,1
487,0;145,1
488,0;144,8
489,0;144,8
490,0;144,8
491,0;144,4
492,0;144,4
493,0;144,1
494,0;143,7
495,0;143,7
496,0;143,7
497,0;143,3
498,0;143,0
499,0;143,0
500,0;142,6
501,0;142,6
502,0;142,6
503,0;142,6
504,0;142,3
505,0;141,9
506,0;141,6
507,0;141,6
508,0;140,9
509,0;140,8
510,0;140,8
511,0;140,8
512,0;140,8
513,0;140,9
514,0;140,8
515,0;140,5
516,0;140,1
517,0;139,8
518,0;139,8
519,0;139,8
520,0;139,4
521,0;139,4
522,0;139,1
523,0;139,1
524,0;138,7
525,0;138,7
526,0;138,3
527,0;138,7
528,0;138,0
529,0;138,0
530,0;137,7
531,0;137,6
532,0;137,3
533,0;137,3
534,0;137,3
535,0;137,3
536,0;136,9
537,0;136,9
538,0;136,6
539,0;136,2
540,0;136,2
541,0;136,2
542,0;135,9
543,0;135,9
544,0;135,5
545,0;135,5
546,0;135,5
547,0;135,1
548,0;135,1
549,0;134,5
550,0;134,5
551,0;134,4
552,0;134,1
553,0;134,1
554,0;134,1
555,0;133,7
556,0;133,7
557,0;133,7
558,0;133,7
559,0;133,7
560,0;133,4
561,0;133,4
562,0;133,4
563,0;133,0
564,0;132,7
565,0;132,7
566,0;132,3
567,0;132,3
568,0;132,3
569,0;132,0
570,0;132,0
571,0;131,6
572,0;131,6
573,0;131,3
574,0;130,9
575,0;130,9
576,0;130,5
577,0;130,9
578,0;130,5
579,0;130,5
580,0;130,5
581,0;130,2
582,0;130,2
583,0;130,2
584,0;129,8
585,0;129,5
586,0;129,5
587,0;129,1
588,0;129,1
589,0;128,8
590,0;128,8
591,0;128,8
592,0;128,4
593,0;128,4
594,0;128,4
595,0;128,4
596,0;127,7
597,0;127,7
598,0;127,4
599,0;127,4
600,0;127,4
601,0;127,4
602,0;127,4
603,0;127,0
604,0;126,7
605,0;126,7
606,0;126,7
607,0;126,3
608,0;126,7
609,0;125,9
610,0;125,9
611,0;125,9
612,0;125,6
613,0;125,2
614,0;125,2
615,0;125,2
616,0;124,9
617,0;124,9
618,0;124,9
619,0;124,5
620,0;124,5
621,0;124,2
622,0;123,8
623,0;123,8
624,0;123,8
625,0;123,8
626,0;123,8
627,0;123,1
628,0;123,1
629,0;123,1
630,0;123,1
631,0;123,1
632,0;123,1
633,0;122,8
634,0;122,8
635,0;122,4
636,0;122,4
637,0;122,1
638,0;122,1
639,0;121,7
640,0;121,7
641,0;121,7
642,0;121,4
643,0;121,4
644,0;121,4
645,0;121,0
646,0;121,0
647,0;121,0
648,0;120,6
